# i  X         Y         Z
674  0.407747  0.081106 -0.277785
675  0.384089  0.159095 -0.277785
676  0.345671  0.230970 -0.277785
677  0.293969  0.293969 -0.277785
678  0.230970  0.345671 -0.277785
679  0.159095  0.384089 -0.277785
680  0.081106  0.407747 -0.277785
681  0.000000  0.415735 -0.277785
682 -0.081106  0.407747 -0.277785
683 -0.159095  0.384089 -0.277785
684 -0.230970  0.345671 -0.277785
685 -0.293969  0.293969 -0.277785
686 -0.345671  0.230970 -0.277785
687 -0.384089  0.159095 -0.277785
688 -0.407747  0.081106 -0.277785
689 -0.415735  0.000000 -0.277785
690 -0.407747 -0.081106 -0.277785
691 -0.384089 -0.159095 -0.277785
692 -0.345671 -0.230970 -0.277785
693 -0.293969 -0.293969 -0.277785
694 -0.230970 -0.345671 -0.277785
695 -0.159095 -0.384089 -0.277785
696 -0.081106 -0.407747 -0.277785
697  0.000000 -0.415735 -0.277785
698  0.081106 -0.407747 -0.277785
699  0.159095 -0.384089 -0.277785
700  0.230970 -0.345671 -0.277785
701  0.293969 -0.293969 -0.277785
702  0.345671 -0.230970 -0.277785
703  0.384089 -0.159095 -0.277785
704  0.407747 -0.081106 -0.277785
705  0.386505  0.000000 -0.317197
706  0.379079  0.075403 -0.317197
707  0.357084  0.147909 -0.317197
708  0.321367  0.214731 -0.317197
709  0.273300  0.273300 -0.317197
710  0.214731  0.321367 -0.317197
711  0.147909  0.357084 -0.317197
712  0.075403  0.379079 -0.317197
713  0.000000  0.386505 -0.317197
714 -0.075403  0.379079 -0.317197
715 -0.147909  0.357084 -0.317197
716 -0.214731  0.321367 -0.317197
717 -0.273300  0.273300 -0.317197
718 -0.321367  0.214731 -0.317197
719 -0.357084  0.147909 -0.317197
720 -0.379079  0.075403 -0.317197
721 -0.386505  0.000000 -0.317197
722 -0.379079 -0.075403 -0.317197
723 -0.357084 -0.147909 -0.317197
724 -0.321367 -0.214731 -0.317197
725 -0.273300 -0.273300 -0.317197
726 -0.214731 -0.321367 -0.317197
727 -0.147909 -0.357084 -0.317197
728 -0.075403 -0.379079 -0.317197
729  0.000000 -0.386505 -0.317197
730  0.075403 -0.379079 -0.317197
731  0.147909 -0.357084 -0.317197
732  0.214731 -0.321367 -0.317197
733  0.273300 -0.273300 -0.317197
734  0.321367 -0.214731 -0.317197
735  0.357084 -0.147909 -0.317197
736  0.379079 -0.075403 -0.317197
737  0.353553  0.000000 -0.353553
738  0.346760  0.068975 -0.353553
739  0.326641  0.135299 -0.353553
740  0.293969  0.196424 -0.353553
741  0.250000  0.250000 -0.353553
742  0.196424  0.293969 -0.353553
743  0.135299  0.326641 -0.353553
744  0.068975  0.346760 -0.353553
745  0.000000  0.353553 -0.353553
746 -0.068975  0.346760 -0.353553
747 -0.135299  0.326641 -0.353553
748 -0.196424  0.293969 -0.353553
749 -0.250000  0.250000 -0.353553
750 -0.293969  0.196424 -0.353553
751 -0.326641  0.135299 -0.353553
752 -0.346760  0.068975 -0.353553
753 -0.353553  0.000000 -0.353553
754 -0.346760 -0.068975 -0.353553
755 -0.326641 -0.135299 -0.353553
756 -0.293969 -0.196424 -0.353553
757 -0.250000 -0.250000 -0.353553
